account,date,classification,daily_pnl,trades_count,avg_trade_size,long_trades,short_trades,long_short_ratio
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-10-27,Greed,-327505.900056,462,12.296536796536797,139,323,0.42901234567901236
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-19,Fear,1927735.720035,3356,16.700055780691297,1572,1784,0.880672268907563
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-10-27,Greed,20607.446093000002,320,129.5396139866875,145,175,0.8238636363636364
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-19,Fear,17098.727055,3533,851.7958757769601,1528,2005,0.7617148554336989
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-06-15,Unknown,10179.147366,3427,178.4321236591771,1382,2045,0.6754643206256109
0x271b280974205ca63b716753467d5a371de622ab,2024-07-03,Neutral,-1.0,5,40.0,2,3,0.5
0x271b280974205ca63b716753467d5a371de622ab,2024-10-27,Greed,1793.1602149999999,5,83.09891999999999,3,2,1.0
0x271b280974205ca63b716753467d5a371de622ab,2025-02-19,Fear,29970.928216,1136,25.691708679577467,506,630,0.8019017432646592
0x271b280974205ca63b716753467d5a371de622ab,2025-06-15,Unknown,-102199.279749,2663,261.4342712680435,1055,1608,0.6556867619639528
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-10-27,Greed,121880.386016,6472,2773.3332751515914,3086,3386,0.911130794213168
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-19,Fear,10435.095669,6794,1420.918087095279,3606,3188,1.1307619943555973
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-06-15,Unknown,149.33286900000002,45,58.98800005311111,7,38,0.1794871794871795
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-10-27,Greed,52215.729448,763,33318.957672346005,305,458,0.664488017429194
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-02-19,Fear,116412.254606,2471,25288.359009307973,872,1599,0.545
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-06-15,Unknown,30.02094,5,2082.8,2,3,0.5
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2023-03-28,Greed,0.0,3,0.08376666666666666,3,0,3.0
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2023-11-14,Greed,0.0,2,0.5,2,0,2.0
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-03-09,Extreme greed,-5564.01614,27,129.52782592592592,4,23,0.16666666666666666
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-07-03,Neutral,215.754798,80,6939.408296498999,35,45,0.7608695652173914
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-10-27,Greed,36993.371011,156,29896.621032429488,64,92,0.6881720430107527
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2025-02-19,Fear,-59349.677108,349,997.0207518338108,66,283,0.2323943661971831
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2025-06-15,Unknown,-3499.0325470000002,198,940.6693400237374,8,190,0.041884816753926704
0x39cef799f8b69da1995852eea189df24eb5cae3c,2024-10-27,Greed,34983.381862,144,270.8673293055556,59,85,0.686046511627907
0x39cef799f8b69da1995852eea189df24eb5cae3c,2025-02-19,Fear,-20526.462526,3445,2488.624521137881,1589,1856,0.8556812062466344
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,2024-10-27,Greed,7612.618288,191,2712.4343455497383,112,79,1.4
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,2025-02-19,Fear,45883.628955,141,764.2303244170213,58,83,0.6904761904761905
0x420ab45e0bd8863569a5efbb9c05d91f40624641,2024-10-27,Greed,16102.56859,125,1084.744,18,107,0.16666666666666666
0x420ab45e0bd8863569a5efbb9c05d91f40624641,2025-02-19,Fear,183403.024142,258,215.64699596899226,83,175,0.4715909090909091
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-03-09,Extreme greed,0.0,88,8550.477272727272,88,0,88.0
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-07-03,Neutral,145563.448374,249,798.081980342972,3,246,0.012145748987854251
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-10-27,Greed,160450.518105,43,2961.211063395349,0,43,0.0
0x430f09841d65beb3f27765503d0f850b8bce7713,2025-02-19,Fear,110527.905862,671,939.1015946348734,211,460,0.45770065075921906
0x430f09841d65beb3f27765503d0f850b8bce7713,2025-06-15,Unknown,0.0,186,483.8709677419355,0,186,0.0
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2024-10-27,Greed,69282.42904,3711,1186.5967464861114,1738,1973,0.8804457953394124
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-02-19,Fear,32683.214094,4629,438.86966150844887,2270,2359,0.961864406779661
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-06-15,Unknown,1378.073027,179,570.6527010173185,68,111,0.6071428571428571
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2024-10-27,Greed,61076.167808,328,2375.65031097561,183,145,1.2534246575342465
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2025-02-19,Fear,613327.827224,3806,779.9780641933789,1797,2009,0.8940298507462686
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2025-06-15,Unknown,3343.0556109999998,222,55102.44594594595,135,87,1.5340909090909092
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-03-09,Extreme greed,-7919.471032000002,730,1.9103895890410958,357,373,0.9545454545454546
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-07-03,Neutral,-25991.506339,1309,5.636603271634836,706,603,1.1688741721854305
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-10-27,Greed,111230.498007,1703,0.40105379859072227,960,743,1.2903225806451613
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2025-02-19,Fear,223968.37089299998,3737,0.21739105967353492,2107,1630,1.2918454935622317
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2025-06-15,Unknown,7687.978187,105,0.19148342857142858,42,63,0.65625
0x513b8629fe877bb581bf244e326a047b249c4ff1,2024-10-27,Greed,0.0,223,165.22878923766814,223,0,223.0
0x513b8629fe877bb581bf244e326a047b249c4ff1,2025-02-19,Fear,403501.648209,5777,33.95914431885061,2646,3131,0.8448275862068966
0x513b8629fe877bb581bf244e326a047b249c4ff1,2025-06-15,Unknown,436920.907007,6236,32.912231205901215,3499,2737,1.2779401022644266
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2024-10-27,Greed,101539.274031,250,21.124,0,250,0.0
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2025-02-19,Fear,6979.340871,572,1763.5735123813286,346,226,1.524229074889868
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2025-06-15,Unknown,212.60187,153,302.73276156862744,17,136,0.12408759124087591
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,2024-10-27,Greed,327545.999992,202,4.455445544554456,104,98,1.0505050505050506
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,2025-02-19,Fear,98269.195073,932,76.61551502145923,299,633,0.471608832807571
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,2025-06-15,Unknown,3540.3708500000002,456,1394.8464912280701,195,261,0.7442748091603053
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2024-10-27,Greed,51737.579418,419,266.7733651551313,11,408,0.02689486552567237
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2025-02-19,Fear,341945.434741,939,1896.5781363152291,574,365,1.5683060109289617
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2025-06-15,Unknown,9328.49,72,15195.527777777777,54,18,2.8421052631578947
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-09,Extreme greed,187842.08419,3041,87290.22407231832,1409,1632,0.8628291488058788
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-07-03,Neutral,0.16271999999999998,6,37.86666666666667,3,3,0.75
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-10-27,Greed,37526.331877,1016,12750.904701220474,545,471,1.1546610169491525
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-19,Fear,136208.043913,4885,53739.54957338792,2321,2564,0.9048732943469786
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-06-15,Unknown,17518.784011,945,21176.211005291003,651,294,2.2067796610169492
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,2025-02-19,Fear,14781.443047,1554,164.41601034749036,687,867,0.7914746543778802
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,2025-06-15,Unknown,119.0,5,0.4,4,1,2.0
0x8170715b3b381dffb7062c0298972d4727a0a63b,2024-10-27,Greed,0.0,15,86.39333333333335,15,0,15.0
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-02-19,Fear,196303.792847,3056,1166.9295505039267,979,2077,0.47112608277189605
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-06-15,Unknown,-363924.917628,1530,1903.91477124183,1268,262,4.821292775665399
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2024-10-27,Greed,11.717676000000012,54,3644.2109259259264,47,7,5.875
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2025-02-19,Fear,64510.169958,1802,603.4172362264151,1071,731,1.4631147540983607
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2025-06-15,Unknown,991.770272,55,45.970575272727274,37,18,1.9473684210526316
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-07-03,Neutral,-9125.157325,3810,1548.5698897979003,1706,2104,0.8104513064133017
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-10-27,Greed,39978.37791,1804,3747.99604664852,625,1179,0.5296610169491526
0x8477e447846c758f5a675856001ea72298fd9cb5,2025-02-19,Fear,46257.358187,5602,3014.433856833274,2453,3149,0.7787301587301587
0x8477e447846c758f5a675856001ea72298fd9cb5,2025-06-15,Unknown,-33193.569796,3782,22951.184287837124,2180,1602,1.3599500935745477
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,2024-10-27,Greed,8695.357326,724,836.4600585745166,642,82,7.734939759036145
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,2025-02-19,Fear,100502.420808,2080,1472.4871634615383,1218,862,1.4113557358053301
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,2025-06-15,Unknown,17381.164,248,5310.042741935485,244,4,48.8
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,2024-10-27,Greed,49180.714882,4211,65.61333522101638,2398,1813,1.3219404630650495
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,2025-02-19,Fear,40314.808014,9274,415.5314882715117,6130,3144,1.9491255961844196
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,2025-06-15,Unknown,16807.35236,2120,16.153268735849057,1455,665,2.184684684684685
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2024-07-03,Neutral,-14505.50575,39,4275.01971907,31,8,3.4444444444444446
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2024-10-27,Greed,67900.247545,283,798.1460184452296,125,158,0.7861635220125787
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2025-02-19,Fear,19451.742477,95,3252.747008985474,0,95,0.0
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,2024-10-27,Greed,20925.513222,190,115.81315053889473,84,106,0.7850467289719626
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,2025-02-19,Fear,8751.751449,182,16487.91208791209,133,49,2.66
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,2025-06-15,Unknown,38168.35486,191,18874.34554973822,115,76,1.4935064935064934
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,2024-10-27,Greed,55.01524,9,0.060779999999999994,7,2,2.3333333333333335
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,2025-02-19,Fear,21703.816512999998,525,0.13531017142857144,297,228,1.296943231441048
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2023-11-14,Greed,155.50335699999994,1043,2571.132308878236,489,554,0.8810810810810811
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-03-09,Extreme greed,2606.8947559999997,3076,23763.398300536413,1513,1563,0.967391304347826
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-07-03,Neutral,62586.1816,1643,4394.432638536214,1019,624,1.6304
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-10-27,Greed,1421755.845871,1268,1131.2214598888959,148,1120,0.1320249776984835
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2025-02-19,Fear,553818.000465,7380,798.100564308943,3477,3903,0.890625
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2025-06-15,Unknown,102460.17164,323,84.33139318885449,57,266,0.21348314606741572
